@gt=  0.000000  | lt=  0.000000 | input={0, 1}

@gt=  0.000000  | lt=  0.000000 | input={0, 1, 2}
{0.0, 0.0}
@gt=  0.000000  | lt=  0.000000 | input={0, 1, 2, 3}
{0.0, 0.0, 0.0}
@gt=  0.000000  | lt=  0.000000 | input={0, 1, 2, 3, 4}
{0.0, 0.0, 0.0, 0.0}
@gt=  0.000000  | lt=  0.000000 | input={0, 1, 2, 3, 4, 5}
{3.608096843126106E-4, 4.686869761968327E-4, 3.607903553085422E-4, 3.607936921450138E-4, 4.68726401682129E-4, 3.607980226179886E-4}
@gt=664.987488  | lt=664.987488 | input={0, 1, 2, 3, 4, 5}

@gt=664.987488  | lt=664.987488 | input={0, 1, 2, 3, 4, 5}
{3.608096843126106E-4, 5.715592609974003E-4, 3.607903553085422E-4, 3.607936921450138E-4, 4.68726401682129E-4, 3.607980226179886E-4}

{3.608096843126106E-4, 5.715592609974003E-4, 3.607903553085422E-4, 3.607936921450138E-4, 4.68726401682129E-4, 3.607980226179886E-4}
@gt=664.998169  | lt=664.998169 | input={0, 1, 2, 3, 4, 5}

@gt=664.998169  | lt=664.998169 | input={0, 1, 2, 3, 4, 5}
{3.608096843126106E-4, 5.715592609974003E-4, 3.607903553085422E-4, 3.607936921450138E-4, 5.716114664547731E-4, 3.607980226179886E-4}

{3.608096843126106E-4, 5.715592609974003E-4, 3.607903553085422E-4, 3.607936921450138E-4, 5.716114664547731E-4, 3.607980226179886E-4}
@gt=981.988617  | lt=981.988617 | input={0, 1, 2, 3, 4, 5}


{3.608096843126106E-4, 5.715592609974003E-4, 3.607903553085422E-4, 3.608857915564727E-4, 5.716114664547731E-4, 3.607980226179886E-4}
@gt=982.006348  | lt=982.006348 | input={0, 1, 2, 3, 4, 5}


{3.609017861010933E-4, 5.715592609974003E-4, 3.607903553085422E-4, 3.608857915564727E-4, 5.716114664547731E-4, 3.607980226179886E-4}
@gt=1036.987976  | lt=1036.987976 | input={0, 1, 2, 3, 4, 5}


{3.609017861010933E-4, 5.715592609974003E-4, 3.607903553085422E-4, 4.03643513829689E-4, 5.716114664547731E-4, 3.607980226179886E-4}
@gt=1037.006714  | lt=1037.006714 | input={0, 1, 2, 3, 4, 5}


{4.036740785659218E-4, 5.715592609974003E-4, 3.607903553085422E-4, 4.03643513829689E-4, 5.716114664547731E-4, 3.607980226179886E-4}
@gt=1069.987579  | lt=1069.987579 | input={0, 1, 2, 3, 4, 5}


{4.036740785659218E-4, 5.715592609974003E-4, 3.607903553085422E-4, 4.687548102869796E-4, 5.716114664547731E-4, 3.607980226179886E-4}
@gt=1070.006927  | lt=1070.006927 | input={0, 1, 2, 3, 4, 5}


{4.6882356463274E-4, 5.715592609974003E-4, 3.607903553085422E-4, 4.687548102869796E-4, 5.716114664547731E-4, 3.607980226179886E-4}
@gt=1155.986572  | lt=1155.986572 | input={0, 1, 2, 3, 4, 5}

@gt=1155.986572  | lt=1155.986572 | input={0, 1, 2, 3, 4, 5}
{4.6882356463274E-4, 5.715592609974003E-4, 3.607903553085422E-4, 5.716259996613693E-4, 5.716114664547731E-4, 3.607980226179886E-4}

{4.6882356463274E-4, 5.715592609974003E-4, 3.607903553085422E-4, 5.716259996613693E-4, 5.716114664547731E-4, 3.607980226179886E-4}
@gt=1156.007477  | lt=1156.007477 | input={0, 1, 2, 3, 4, 5}

@gt=1156.007477  | lt=1156.007477 | input={0, 1, 2, 3, 4, 5}
{5.717197662381936E-4, 5.715592609974003E-4, 3.607903553085422E-4, 5.716259996613693E-4, 5.716114664547731E-4, 3.607980226179886E-4}

{5.717197662381936E-4, 5.715592609974003E-4, 3.607903553085422E-4, 5.716259996613693E-4, 5.716114664547731E-4, 3.607980226179886E-4}
@gt=1472.977234  | lt=1472.977234 | input={0, 1, 2, 3, 4, 5}


{5.717197662381936E-4, 5.715592609974003E-4, 3.609482778814602E-4, 5.716259996613693E-4, 5.716114664547731E-4, 3.607980226179886E-4}
@gt=1472.990143  | lt=1472.990143 | input={0, 1, 2, 3, 4, 5}


{5.717197662381936E-4, 5.715592609974003E-4, 3.609482778814602E-4, 5.716259996613693E-4, 5.716114664547731E-4, 3.609559469215106E-4}
@gt=1527.976410  | lt=1527.976410 | input={0, 1, 2, 3, 4, 5}


{5.717197662381936E-4, 5.715592609974003E-4, 4.036970065021992E-4, 5.716259996613693E-4, 5.716114664547731E-4, 3.609559469215106E-4}
@gt=1527.989746  | lt=1527.989746 | input={0, 1, 2, 3, 4, 5}


{5.717197662381936E-4, 5.715592609974003E-4, 4.036970065021992E-4, 5.716259996613693E-4, 5.716114664547731E-4, 4.037150455320453E-4}
@gt=1560.975891  | lt=1560.975891 | input={0, 1, 2, 3, 4, 5}


{5.717197662381936E-4, 5.715592609974003E-4, 4.687852325802326E-4, 5.716259996613693E-4, 5.716114664547731E-4, 4.037150455320453E-4}
@gt=1560.989532  | lt=1560.989532 | input={0, 1, 2, 3, 4, 5}


{5.717197662381936E-4, 5.715592609974003E-4, 4.687852325802326E-4, 5.716259996613693E-4, 5.716114664547731E-4, 4.68830197091875E-4}
@gt=1646.974548  | lt=1646.974548 | input={0, 1, 2, 3, 4, 5}

@gt=1646.974548  | lt=1646.974548 | input={0, 1, 2, 3, 4, 5}
{5.717197662381936E-4, 5.715592609974003E-4, 5.716420353574849E-4, 5.716259996613693E-4, 5.716114664547731E-4, 4.68830197091875E-4}

{5.717197662381936E-4, 5.715592609974003E-4, 5.716420353574849E-4, 5.716259996613693E-4, 5.716114664547731E-4, 4.68830197091875E-4}
@gt=1646.988953  | lt=1646.988953 | input={0, 1, 2, 3, 4, 5}

@gt=1646.988953  | lt=1646.988953 | input={0, 1, 2, 3, 4, 5}
{5.717197662381936E-4, 5.715592609974003E-4, 5.716420353574849E-4, 5.716259996613693E-4, 5.716114664547731E-4, 5.717042345743274E-4}

{5.717197662381936E-4, 5.715592609974003E-4, 5.716420353574849E-4, 5.716259996613693E-4, 5.716114664547731E-4, 5.717042345743274E-4}
@gt=72666.631256  | lt=72666.631256 | input={0, 1, 2, 3, 4, 5}


{5.717197662381936E-4, 5.812119796876716E-4, 5.716420353574849E-4, 5.716259996613693E-4, 5.716114664547731E-4, 5.717042345743274E-4}
@gt=72666.877594  | lt=72666.877594 | input={0, 1, 2, 3, 4, 5}


{5.717197662381936E-4, 5.812119796876716E-4, 5.811631376974297E-4, 5.716259996613693E-4, 5.716114664547731E-4, 5.717042345743274E-4}
@gt=72667.156799  | lt=72667.156799 | input={0, 1, 2, 3, 4, 5}


{5.717197662381936E-4, 5.812119796876716E-4, 5.811631376974297E-4, 5.812129641197776E-4, 5.716114664547731E-4, 5.717042345743274E-4}
@gt=72667.513031  | lt=72667.513031 | input={0, 1, 2, 3, 4, 5}


{5.717197662381936E-4, 5.812119796876716E-4, 5.811631376974297E-4, 5.812129641197776E-4, 5.716114664547731E-4, 5.812254221025467E-4}
@gt=72667.800812  | lt=72667.800812 | input={0, 1, 2, 3, 4, 5}


{5.717197662381936E-4, 5.812119796876716E-4, 5.811631376974297E-4, 5.812129641197776E-4, 5.812643419386007E-4, 5.812254221025467E-4}
@gt=72668.469482  | lt=72668.469482 | input={0, 1, 2, 3, 4, 5}


{5.813069066781807E-4, 5.812119796876716E-4, 5.811631376974297E-4, 5.812129641197776E-4, 5.812643419386007E-4, 5.812254221025467E-4}
@gt=72731.630005  | lt=72731.630005 | input={0, 1, 2, 3, 4, 5}


{5.813069066781807E-4, 6.573365910574149E-4, 5.811631376974297E-4, 5.812129641197776E-4, 5.812643419386007E-4, 5.812254221025467E-4}
@gt=72731.876587  | lt=72731.876587 | input={0, 1, 2, 3, 4, 5}


{5.813069066781807E-4, 6.573365910574149E-4, 6.575827507937051E-4, 5.812129641197776E-4, 5.812643419386007E-4, 5.812254221025467E-4}
@gt=72732.156067  | lt=72732.156067 | input={0, 1, 2, 3, 4, 5}


{5.813069066781807E-4, 6.573365910574149E-4, 6.575827507937051E-4, 6.57966936846199E-4, 5.812643419386007E-4, 5.812254221025467E-4}
@gt=72732.512604  | lt=72732.512604 | input={0, 1, 2, 3, 4, 5}


{5.813069066781807E-4, 6.573365910574149E-4, 6.575827507937051E-4, 6.57966936846199E-4, 5.812643419386007E-4, 6.584059424986553E-4}
@gt=72732.800659  | lt=72732.800659 | input={0, 1, 2, 3, 4, 5}


{5.813069066781807E-4, 6.573365910574149E-4, 6.575827507937051E-4, 6.57966936846199E-4, 6.587894813070775E-4, 6.584059424986553E-4}
@gt=72733.469910  | lt=72733.469910 | input={0, 1, 2, 3, 4, 5}


{6.596327128613663E-4, 6.573365910574149E-4, 6.575827507937051E-4, 6.57966936846199E-4, 6.587894813070775E-4, 6.584059424986553E-4}
@gt=72797.628784  | lt=72797.628784 | input={0, 1, 2, 3, 4, 5}


{6.596327128613663E-4, 7.045873661723899E-4, 6.575827507937051E-4, 6.57966936846199E-4, 6.587894813070775E-4, 6.584059424986553E-4}
@gt=72797.628784  | lt=72797.628784 | input={0, 1, 2, 3, 4, 5}


{6.596327128613663E-4, 7.045873661723899E-4, 6.575827507937051E-4, 6.57966936846199E-4, 6.587894813070775E-4, 6.584059424986553E-4}
@gt=72797.875580  | lt=72797.875580 | input={0, 1, 2, 3, 4, 5}


{6.596327128613663E-4, 7.045873661723899E-4, 7.055660050760651E-4, 6.57966936846199E-4, 6.587894813070775E-4, 6.584059424986553E-4}
@gt=72797.875580  | lt=72797.875580 | input={0, 1, 2, 3, 4, 5}


{6.596327128613663E-4, 7.045873661723899E-4, 7.055660050760651E-4, 6.57966936846199E-4, 6.587894813070775E-4, 6.584059424986553E-4}
@gt=72798.155304  | lt=72798.155304 | input={0, 1, 2, 3, 4, 5}


{6.596327128613663E-4, 7.045873661723899E-4, 7.055660050760651E-4, 7.067804006065177E-4, 6.587894813070775E-4, 6.584059424986553E-4}
@gt=72798.155304  | lt=72798.155304 | input={0, 1, 2, 3, 4, 5}


{6.596327128613663E-4, 7.045873661723899E-4, 7.055660050760651E-4, 7.067804006065177E-4, 6.587894813070775E-4, 6.584059424986553E-4}
@gt=72798.512146  | lt=72798.512146 | input={0, 1, 2, 3, 4, 5}


{6.596327128613663E-4, 7.045873661723899E-4, 7.055660050760651E-4, 7.067804006065177E-4, 6.587894813070775E-4, 7.082784984939481E-4}
@gt=72798.512146  | lt=72798.512146 | input={0, 1, 2, 3, 4, 5}


{6.596327128613663E-4, 7.045873661723899E-4, 7.055660050760651E-4, 7.067804006065177E-4, 6.587894813070775E-4, 7.082784984939481E-4}
@gt=72798.800476  | lt=72798.800476 | input={0, 1, 2, 3, 4, 5}


{6.596327128613663E-4, 7.045873661723899E-4, 7.055660050760651E-4, 7.067804006065177E-4, 7.095177889004232E-4, 7.082784984939481E-4}
@gt=72798.800476  | lt=72798.800476 | input={0, 1, 2, 3, 4, 5}


{6.596327128613663E-4, 7.045873661723899E-4, 7.055660050760651E-4, 7.067804006065177E-4, 7.095177889004232E-4, 7.082784984939481E-4}
@gt=72799.470337  | lt=72799.470337 | input={0, 1, 2, 3, 4, 5}


{7.123491393769456E-4, 7.045873661723899E-4, 7.055660050760651E-4, 7.067804006065177E-4, 7.095177889004232E-4, 7.082784984939481E-4}
@gt=72799.470337  | lt=72799.470337 | input={0, 1, 2, 3, 4, 5}


{7.123491393769456E-4, 7.045873661723899E-4, 7.055660050760651E-4, 7.067804006065177E-4, 7.095177889004232E-4, 7.082784984939481E-4}
@gt=72961.625702  | lt=72961.625702 | input={0, 1, 2, 3, 4, 5}

@gt=72961.625702  | lt=72961.625702 | input={0, 1, 2, 3, 4, 5}
{7.123491393769456E-4, 9.343652542552756E-4, 7.055660050760651E-4, 7.067804006065177E-4, 7.095177889004232E-4, 7.082784984939481E-4}

{7.123491393769456E-4, 9.343652542552756E-4, 7.055660050760651E-4, 7.067804006065177E-4, 7.095177889004232E-4, 7.082784984939481E-4}
@gt=72961.873016  | lt=72961.873016 | input={0, 1, 2, 3, 4, 5}

@gt=72961.873016  | lt=72961.873016 | input={0, 1, 2, 3, 4, 5}
{7.123491393769456E-4, 9.343652542552756E-4, 9.356933633200838E-4, 7.067804006065177E-4, 7.095177889004232E-4, 7.082784984939481E-4}

{7.123491393769456E-4, 9.343652542552756E-4, 9.356933633200838E-4, 7.067804006065177E-4, 7.095177889004232E-4, 7.082784984939481E-4}
@gt=72962.153381  | lt=72962.153381 | input={0, 1, 2, 3, 4, 5}

@gt=72962.153381  | lt=72962.153381 | input={0, 1, 2, 3, 4, 5}
{7.123491393769456E-4, 9.343652542552756E-4, 9.356933633200838E-4, 9.37303931403637E-4, 7.095177889004232E-4, 7.082784984939481E-4}

{7.123491393769456E-4, 9.343652542552756E-4, 9.356933633200838E-4, 9.37303931403637E-4, 7.095177889004232E-4, 7.082784984939481E-4}
@gt=72962.511047  | lt=72962.511047 | input={0, 1, 2, 3, 4, 5}

@gt=72962.511047  | lt=72962.511047 | input={0, 1, 2, 3, 4, 5}
{7.123491393769456E-4, 9.343652542552756E-4, 9.356933633200838E-4, 9.37303931403637E-4, 7.095177889004232E-4, 9.393074328311064E-4}

{7.123491393769456E-4, 9.343652542552756E-4, 9.356933633200838E-4, 9.37303931403637E-4, 7.095177889004232E-4, 9.393074328311064E-4}
@gt=72962.800018  | lt=72962.800018 | input={0, 1, 2, 3, 4, 5}

@gt=72962.800018  | lt=72962.800018 | input={0, 1, 2, 3, 4, 5}
{7.123491393769456E-4, 9.343652542552756E-4, 9.356933633200838E-4, 9.37303931403637E-4, 9.409550565243245E-4, 9.393074328311064E-4}

{7.123491393769456E-4, 9.343652542552756E-4, 9.356933633200838E-4, 9.37303931403637E-4, 9.409550565243245E-4, 9.393074328311064E-4}
@gt=72963.471375  | lt=72963.471375 | input={0, 1, 2, 3, 4, 5}

@gt=72963.471375  | lt=72963.471375 | input={0, 1, 2, 3, 4, 5}
{9.44735073594475E-4, 9.343652542552756E-4, 9.356933633200838E-4, 9.37303931403637E-4, 9.409550565243245E-4, 9.393074328311064E-4}

{9.44735073594475E-4, 9.343652542552756E-4, 9.356933633200838E-4, 9.37303931403637E-4, 9.409550565243245E-4, 9.393074328311064E-4}
@gt=73157.622009  | lt=73157.622009 | input={0, 1, 2, 3, 4, 5}


{9.44735073594475E-4, 9.343913457683944E-4, 9.356933633200838E-4, 9.37303931403637E-4, 9.409550565243245E-4, 9.393074328311064E-4}
@gt=73158.799469  | lt=73158.799469 | input={0, 1, 2, 3, 4, 5}


{9.44735073594475E-4, 9.343913457683944E-4, 9.356933633200838E-4, 9.37303931403637E-4, 9.409813058906366E-4, 9.393074328311064E-4}
@gt=73212.620972  | lt=73212.620972 | input={0, 1, 2, 3, 4, 5}


{9.44735073594475E-4, 9.760861084926224E-4, 9.356933633200838E-4, 9.37303931403637E-4, 9.409813058906366E-4, 9.393074328311064E-4}
@gt=73213.799316  | lt=73213.799316 | input={0, 1, 2, 3, 4, 5}


{9.44735073594475E-4, 9.760861084926224E-4, 9.356933633200838E-4, 9.37303931403637E-4, 9.835923295896723E-4, 9.393074328311064E-4}
@gt=73245.620331  | lt=73245.620331 | input={0, 1, 2, 3, 4, 5}


{9.44735073594475E-4, 0.0010384987127, 9.356933633200838E-4, 9.37303931403637E-4, 9.835923295896723E-4, 9.393074328311064E-4}
@gt=73246.799225  | lt=73246.799225 | input={0, 1, 2, 3, 4, 5}


{9.44735073594475E-4, 0.0010384987127, 9.356933633200838E-4, 9.37303931403637E-4, 0.0010483318496, 9.393074328311064E-4}
@gt=73331.618713  | lt=73331.618713 | input={0, 1, 2, 3, 4, 5}

@gt=73331.618713  | lt=73331.618713 | input={0, 1, 2, 3, 4, 5}
{9.44735073594475E-4, 0.0011397332623, 9.356933633200838E-4, 9.37303931403637E-4, 0.0010483318496, 9.393074328311064E-4}

{9.44735073594475E-4, 0.0011397332623, 9.356933633200838E-4, 9.37303931403637E-4, 0.0010483318496, 9.393074328311064E-4}
@gt=73332.799011  | lt=73332.799011 | input={0, 1, 2, 3, 4, 5}

@gt=73332.799011  | lt=73332.799011 | input={0, 1, 2, 3, 4, 5}
{9.44735073594475E-4, 0.0011397332623, 9.356933633200838E-4, 9.37303931403637E-4, 0.0011509786227, 9.393074328311064E-4}

{9.44735073594475E-4, 0.0011397332623, 9.356933633200838E-4, 9.37303931403637E-4, 0.0011509786227, 9.393074328311064E-4}
@gt=73649.145416  | lt=73649.145416 | input={0, 1, 2, 3, 4, 5}


{9.44735073594475E-4, 0.0011397332623, 9.356933633200838E-4, 9.373959177735043E-4, 0.0011509786227, 9.393074328311064E-4}
@gt=73650.475830  | lt=73650.475830 | input={0, 1, 2, 3, 4, 5}


{9.448272383229448E-4, 0.0011397332623, 9.356933633200838E-4, 9.373959177735043E-4, 0.0011509786227, 9.393074328311064E-4}
@gt=73704.144775  | lt=73704.144775 | input={0, 1, 2, 3, 4, 5}


{9.448272383229448E-4, 0.0011397332623, 9.356933633200838E-4, 9.794979814241695E-4, 0.0011509786227, 9.393074328311064E-4}
@gt=73705.476166  | lt=73705.476166 | input={0, 1, 2, 3, 4, 5}


{9.879645686665535E-4, 0.0011397332623, 9.356933633200838E-4, 9.794979814241695E-4, 0.0011509786227, 9.393074328311064E-4}
@gt=73737.144409  | lt=73737.144409 | input={0, 1, 2, 3, 4, 5}


{9.879645686665535E-4, 0.0011397332623, 9.356933633200838E-4, 0.0010429450181, 0.0011509786227, 9.393074328311064E-4}
@gt=73738.476379  | lt=73738.476379 | input={0, 1, 2, 3, 4, 5}


{0.0010540406648, 0.0011397332623, 9.356933633200838E-4, 0.0010429450181, 0.0011509786227, 9.393074328311064E-4}
@gt=73823.143402  | lt=73823.143402 | input={0, 1, 2, 3, 4, 5}

@gt=73823.143402  | lt=73823.143402 | input={0, 1, 2, 3, 4, 5}
{0.0010540406648, 0.0011397332623, 9.356933633200838E-4, 0.0011448073564, 0.0011509786227, 9.393074328311064E-4}

{0.0010540406648, 0.0011397332623, 9.356933633200838E-4, 0.0011448073564, 0.0011509786227, 9.393074328311064E-4}
@gt=73824.476959  | lt=73824.476959 | input={0, 1, 2, 3, 4, 5}

@gt=73824.476959  | lt=73824.476959 | input={0, 1, 2, 3, 4, 5}
